EPA census code,Pesticide code,Pesticide name,CAS No.
1,10501,"Dicofol [1,1-Bis(chlorophenyl)-2,2,2-trichloroethanol]",00115-32-2
2,51501,Maleic Hydrazide,00123-33-1 
3,42002,"EDB [1,2-Ethylene dibromide]",00106-93-4 
4,82901,"Vancide TH [1,3,5-Triethylhexahydro-s-triazine]",07779-27-3
5,29001,Dichloropropene,00542-75-6 
7,17901,"Dowicil 75 [1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantanechloride]",04080-31-3
8,109901,Triadimefon,43121-43-3 
9,44901,Hexachlorophene (nabac),00070-30-4 
10,55004,Tetrachlorophene,01940-43-8 
11,55001,Dichlorophene,00097-23-4 
12,84001,Dichlorvos,00062-73-7 
13,102401,"Landrin-2 [2,3,5-trimethylphenylmethylcarbamate]",02686-99-9
14,82601,"Fenac [2,3,6-Trichlorophenylacetic acid]",00085-34-7 
14,( 1),Fenac Salts and Esters,( 1)
15,82001,"2,4,5-T [2,4,5-Trichlorophenoxyacetic acid]",00093-76-5
15,( 1),"2,4,5-T Salts and Esters",( 1)
16,30001,"2,4-D [2,4-Dichlorophenoxyacetic acid]",00094-75-7 
16,( 1),"2,4-D Salts and Esters",( 1)
17,30801,"2,4-DB [2,4-Dichlorophenoxybutyric acid]",00094-82-6
17,( 1),"2,4-DB Salts and Esters",( 1)
18,80811,"Anilazine [2,4-Dichloro-6-(o-chloroanilino)-s-triazine]",00101-05-3 
19,36001,Dinocap,39300-45-3 
20,31301,"Dichloran (2,6-dichloro-4-nitroaniline)",00099-30-9 
21,8707,Busan 90 [2-Bromo-4-hydroxyacetophenone],02491-38-5
22,15801,Mevinphos,07786-34-7 
23,39001,Sulfallate [2-chloroallyldiethyldithiocarbamate],00095-06-7
24,84101,Chlorfenvinphos,00470-90-6 
25,10010,Cyanazine,21725-46-2 
26,19101,Propachlor,01918-16-7
27,30501,MCPA [2-Methyl-4-chlorophenoxyacetic acid],00094-74-6
27,( 1),MCPA Salts and Esters,( 1)
28,99901,Octhilinone,26530-20-1 
29,67703,Pindone,00083-26-1 
30,31401,"Dichlorprop [2-(2,4-Dichlorophenoxy) propionic acid]",00120-36-5 
30,( 1),Dichlorprop Salts and Esters,( 1)
31,31501,MCPP [2-(2-Methyl-4-chlorophenoxy)propionic acid],00093-65-2 
31,( 1),MCPP Salts and Esters,( 1)
32,60101,Thiabendazole,00148-79-8 
33,80815,"Belclene 310 [2-(methylthio)-4-(ethylamino)-6-(1,2-dimethylamino)-s-triazine]",22936-75-0 
34,21201,Cloprop [2-(m-Chlorophenoxy)propionic acid],00101-10-0
34,( 1),Cloprop Salts and Esters,( 1)
35,35603,TCMTB [2-(Thiocyanomethylthio)benzothiazole],21564-17-0
36,99001,HAE [2-((Hydroxymethyl)amino) ethanol,34375-28-5
37,6770,Chlorophacinone,03691-35-8 
38,102401,"Landrin-1 [3,4,5-trimethylphenylmethylcarbamate]",02686-99-9 
39,101701,Pronamide,23950-58-5 
40,100501,Methiocarb,02032-65-7
41,28201,Propanil,00709-98-8 
42,107801,3-Iodo-2-propynyl butylcarbamate,55406-53-6 
43,86001,3-(a-Acetonylfurfuryl)-4-hydroxycoumarin [Coumafuryl],00117-52-2 
43,( 1),Coumafuryl Salts and Esters,( 1)
44,37507,"DNOC (4,6-dinitro-o-cresol)",00534-52-1
45,101101,Metribuzin,21087-64-9 
46,19401,CPA (4-chlorophenoxyacetic acid),00122-88-3 
46,( 1),CPA Salts and Esters,( 1)
47,19201,MCPB [4-(2-Methyl-4-chlorophenoxy)butyric acid],00094-81-5
47,( 1),MCPB Salts and Esters,( 1)
48,44401,Aminocarb [4-(dimethylamino)-m-tolylmethylcarbamate],02032-59-9 
49,84701,Etridiazole,02593-15-9 
50,55501,Ethoxyquin,00091-53-2 
51,59804,Quinoliol sulfate (8-Quinoliol sulfate),00134-31-6 
52,103301,Acephate,30560-19-1 
53,114401,Acifluorfen,50594-66-6 
53,114402,Acifluorfen Salts and Esters,62476-59-9 
54,90501,Alachlor,15972-60-8 
55,98301,Aldicarb,00116-06-3 
56,69105,"Hyamine 3500 [Alkyl* dimethyl benzyl ammonium chloride * (50% C14, 40% C12, 10% C16)]",68424-85-1 
57,4001,Allethrin (all isomers and allethrin coil),00584-79-2
58,80801,Ametryn,00834-12-8 
59,106201,Amitraz,33089-61-1 
60,80803,Atrazine,01912-24-9 
61,105201,Bendiocarb,22781-23-3 
62,99101,Benomyl and Carbendazim,17804-35-2 
63,8901,Benzene Hexachloride,00608-73-1 
64,9501,Benzyl benzoate,00120-51-4 
65,10101,Lethane 384 [Beta-Thiocyanoethyl esters of mixed fatty acids containing from 10-18 carbons],00301-11-1 
66,104301,Bifenox,42576-02-3 
68,12301,Bromacil,00314-40-9 
68,12302,"Bromacil, lithium",53404-19-6 
69,35301,Bromoxynil,01689-84-5 
69,35302,Bromoxynil octanoate,01689-99-2 
70,112301,Butachlor,23184-66-9 
70,101401,Giv-gard [β-Bromo-β-nitrostyrene],07166-19-0 
73,81701,Captafol,02425-06-1 
74,81301,Captan,00133-06-2 
75,56801,Carbaryl [Sevin],00063-25-2 
76,90601,Carbofuran,01563-66-2 
77,90602,Carbosulfan,55285-14-8 
78,29901,Chloramben,00133-90-4 
78,( 1),Chloramben Salts and Esters,( 1) 
79,58201,Chlordane,00057-74-9 
80,27301,Chloroneb,02675-77-6 
81,81501,Chloropicrin,00076-06-2 
82,81901,Chlorothalonil,01897-45-6 
83,25501,Chloroxuron,01982-47-4 
84,83701,Stirofos,00961-11-5 
85,59102,Chlorpyrifos methyl,05598-13-0 
86,59101,Chlorpyrifos,02921-88-2 
87,14504,Mancozeb,08018-01-7 
90,109301,Fenvalerate,51630-58-1 
91,43401,Cycloheximide,00066-81-9 
92,28901,"Dalapon (2,2-dichloropropionic acid)",00075-99-0 
92,( 1),Dalapon Salts and Esters,( 1) 
93,27501,Dienochlor,02227-17-0 
94,57601,"Demeton [O,O-Diethyl O-(and S-) (2-ethylthio)ethyl) phosphorothioate]",08065-48-3 
95,104801,Desmedipham,13684-56-5 
96,14502,Diammonium ethylenebisdithiocarbamate,03566-10-7 
97,11301,DBCP [Dibromo-3-chloropropane],00096-12-8 
98,29801,"Dicamba [3,6-Dichloro-o-anisic acid]",01918-00-9 
98,( 1),Dicamba Salts and Esters,( 1) 
99,29601,Dichlone (Phygon),00117-80-6 
100,103401,Thiophanate ethyl,23564-06-9 
101,32101,Perthane [Diethyl diphenyl dichloroethane and related compounds],00072-56-0 
102,86501,EXD [Diethyl dithiobis (thionoformate)],00502-55-6
103,57801,Diazinon,00333-41-5 
104,108201,Diflubenzuron,35367-38-5 
105,69122,Benzethonium chloride,00121-54-0 
106,35001,Dimethoate,00060-51-5 
107,53501,Parathion methyl,00298-00-0
108,35201,Dicrotophos,00141-66-2 
109,58801,Crotoxyphos,07700-17-6 
110,78701,"DCPA [Dimethyl 2,3,5,6-tetrachloroterephthalate]",01861-32-1
111,57901,Trichlorofon,00052-68-6 
112,37505,Dinoseb,00088-85-7 
113,37801,Dioxathion,00078-34-2 
114,67701,Diphacinone,00082-66-6 
115,36601,Diphenamid,00957-51-7 
116,38501,Diphenylamine,00122-39-4 
116,47201,MGK 326 [Dipropyl isocinchomeronate],00113-48-4 
118,63301,Nabonate [Disodium cyanodithioimidocarbonate],00138-93-2 
119,35505,Diuron,00330-54-1 
120,44303,Metasol DGH [Dodecylguanidine hydrochloride],13590-97-1 
121,44301,Dodine (dodecylquanidine acetate),02439-10-3 
122,79401,"Endosulfan [Hexachlorohexahydromethano-2,4,3-benzodioxathiepin-3-oxide]",00115-29-7 
123,38901,Endothall,00145-73-3 
123,( 1),Endothall Salts and Esters,( 1) 
124,41601,Endrin,00072-20-8 
125,113101,Ethalfluralin,55283-68-6 
126,58401,Ethion,00563-12-2 
127,41101,Ethoprop,13194-48-4 
128,100601,Fenamiphos,22224-92-6 
129,28801,Chlorobenzilate,00510-15-6 
130,41405,Butylate,02008-41-5 
131,59901,Famphur,00052-85-7 
132,206600,Fenarimol,60168-88-9 
133,53301,Fenthion,00055-38-9 
134,34801,Ferbam,14484-64-1 
135,35503,Fluometuron,02164-17-2 
136,75002,Fluoroacetamide,00640-19-7 
137,81601,Folpet,00133-07-3 
138,103601,Glyphosate [N-(Phosphonomethyl) glycine],01071-83-6 
138,( 1),Glyphosate Salts and Esters,( 1) 
139,103602,Glyphosine,02439-99-8 
140,44801,Heptachlor,00076-44-8 
141,115601,Cycloprate,54460-46-7 
142,107201,Hexazinone,51235-04-2 
143,109401,Isofenphos,25311-71-1 
144,100201,Isopropalin,33820-53-0 
145,47601,Propham,00122-42-9 
146,97401,Karbutilate,04849-32-5 
147,9001,Lindane,00058-89-9 
148,35506,Linuron,00330-55-2 
149,39504,"Malachite green [Ammonium(4-(p-(dimethylamino)-alpha-phenylbenzylidine)-2,5-cyclohexadien-1-ylidene)-dimethyl chloride]",00569-64-2
150,57701,Malathion,00121-75-5 
151,14505,Maneb,12427-38-2 
152,34802,Manganous dimethyldithiocarbamate,15339-36-3 
153,114001,"Mefluidide [N-(2,4-dimethyl-5-(((trifluoromethyl) sulfonyl)-amino) phenyl acetamide]",53780-34-0 
153,( 1),Mefluidide Salts and Esters,( 1) 
154,101201,Methamidophos,10265-92-6 
155,100301,Methidathion,00950-37-8 
156,90301,Methomyl,16752-77-5 
157,105401,Methoprene,40596-69-8 
158,34001,Methoxychlor,00072-43-5 
159,69134,Methylbenzethonium chloride,15716-02-6 
160,53201,Methylbromide,00074-83-9 
162,69129,Hyamine 2389 [Methyldodecylbenzyl trimethyl ammonium chloride 80% and methyldodecylxylylene bis (trimethylammoniumchloride) 20%],01399-80-0 
163,68102,Methylenebisthiocyanate,06317-18-6 
164,54101,Quinmethionate,02439-01-2 
165,108801,Metolachlor,51218-45-2 
166,44201,Mexacarbate,00315-18-4 
167,14601,Metiram,09006-42-2 
168,35502,Monuron TCA,00140-41-0 
169,35501,Monuron,00150-68-5 
170,103001,Napropamide,15299-99-7 
171,80301,Deet,00134-62-3 
172,14503,Nabam,00142-59-6 
173,34401,Naled,00300-76-5 
174,35801,Norea,18530-56-8 
175,105801,Norflurazon,27314-13-2 
176,30701,N-1-Naphthylphthalimide,05333-99-3 
176,30702,Naptalam [N-1-Naphthylphthalamic acid],00132-66-1 
176,30703,Naptalam Salts and Esters,00132-67-2 
177,57001,MGK 264 [N-2-Ethylhexyl bicycloheptene dicarboximide],00136-45-8 
178,84301,Benfluralin,01861-40-1 
179,79501,Sulfotepp,03689-24-5 
180,79101,Aspon,03244-90-4 
181,36501,Coumaphos,00056-72-4 
182,32701,Fensulfothion,00115-90-2 
183,32501,Disulfoton,00298-04-4 
184,105901,Fenitrothion,00122-14-5 
185,59201,Phosmet,00732-11-6 
186,58001,Azinphos Methyl,00086-50-0
187,58702,Oxydemeton methyl,00301-12-2 
192,( 1),Organo-tin pesticides,( 1) 
194,104201,Oryzalin,19044-88-3 
195,103801,Oxamyl,23135-22-0 
196,111601,Oxyfluorfen,42874-03-3 
197,111501,Bolstar [Sulprofos],35400-43-2 
198,219900,Sulprofos Oxon,38527-90-1 
199,41801,Santox (O-Ethyl O-(p-nitrophenyl) phenylphosphonothioate,02104-64-5 
200,41701,Fonofos,00944-22-9 
201,47802,Propoxur (o-Isopropylphenylmethylcarbamate),00114-26-1 
202,57501,Parathion,00056-38-2 
203,108501,Pendimethalin,40487-42-1 
204,56502,Pentachloronitrobenzene,00082-68-8 
205,63001,Pentachlorophenol,00087-86-5 
206,63003,Pentachlorophenol Salts and Esters,00131-52-2 
207,108001,Perfluidone,37924-13-3 
208,109701,Permethrin,52645-53-1 
209,98701,Phenmedipham,13684-63-4 
210,64501,Phenothiazine,00092-84-2 
211,64103,Phenylphenol,00090-43-7 
212,57201,Phorate,00298-02-2 
213,97701,Phosalone,02310-17-0 
214,18201,Phosphamidon,13171-21-6 
215,5101,Picloram,01918-02-1
215,5104,Picloram Salts and Esters,02545-60-0 
216,67501,Piperonyl butoxide,00051-03-6 
217,69183,PBED (Busan 77) [Poly (oxyethylene (dimethylimino) ethylene (dimethylimino) ethylene dichloride],31512-74-0 
218,34803,Busan 85 [Potassium dimethyldithiocarbamate],00128-03-0 
219,102901,Busan 40 [Potassium N-hydroxymethyl-N-methyldithiocarbamate],51026-28-9 
220,39002,KN Methyl [Potassium N-methyldithiocarbamate],00137-41-7 
221,101301,Metasol J26 [Potassium N-(alpha-(nitroethyl) benzyl)-ethylenediamine],53404-62-9 
222,111401,Profenofos,41198-08-7 
223,80804,Prometon,01610-18-0 
224,80805,Prometryn,07287-19-6 
225,97601,Propargite,02312-35-8 
226,80808,Propazine,00139-40-2 
227,77702,Propionic acid,00079-09-4 
228,119301,Propamocarb and Propamocarb HCL,24579-73-5 
229,69004,Pyrethrin coils,00121-21-1 
230,69001,Pyrethrin I ,
231,69002,Pyrethrum (other than pyrethrins),08003-34-7 
232,69006,Pyrethrin II,00121-29-9 
233,97801,Resmethrin,10453-86-8 
234,58301,Ronnel,00299-84-3 
235,71003,Rotenone,00083-79-4 
236,74801,"DEF [S,S,S-Tributyl phosphorotrithioate]",00078-48-8
237,35509,Siduron,01982-49-6 
238,82501,"Silvex [2-(2,4,5-Trichlorophenoxypropionic acid)]",00093-72-1 
238,( 1),Silvex Salts and Esters,( 1)
239,80807,Simazine,00122-34-9 
240,103901,Bentazon,25057-89-0 
241,34804,Carbam-S [Sodium dimethyldithiocarbanate],00128-04-1 
242,75003,Sodium monofluoroacetate,00062-74-8 
243,39003,Vapam [Sodium methyldithiocarbamate],00137-42-8 
244,57101,Sulfoxide,00120-62-7 
245,41301,Cycloate,01134-23-2 
246,41401,EPTC [S-Ethyl dipropylthiocarbamate],00759-94-4 
247,41402,Molinate,02212-67-1 
248,41403,Pebulate,01114-71-2 
249,41404,Vernolate,01929-77-7 
250,35604,HPTMS [S-(2-Hydroxypropyl) thiomethanesulfonate],29803-57-4 
251,9801,Bensulide,00741-58-2 
252,105501,Tebuthiuron,34014-18-1 
253,59001,Temephos,03383-96-8 
254,12701,Terbacil,05902-51-2 
255,105001,Terbufos,13071-79-9 
256,80814,Terbuthylazine,05915-41-3 
257,80813,Terbutryn,00886-50-0 
258,63004,Tetrachlorophenol,25167-83-3 
258,63007,Tetrachlorophenol Salts and Esters,( 1) 
259,35602,Dazomet,00533-74-4 
260,102001,Thiophanate methyl,23564-05-8 
261,79801,Thiram,00137-26-8 
262,80501,Toxaphene,08001-35-2 
263,74901,Merphos [Tributyl phosphorotrithioate],00150-50-5 
264,36101,Trifluralin,01582-09-8 
265,86002,Warfarin [3-(a-Acetonylbenzyl)-4-hydroxycoumarin],00081-81-2 
265,( 1),Warfarin Salts and Esters,( 1)
266,51705,Zinc MBT [Zinc 2-mercaptobenzothiazolate],00155-04-4 
267,14506,Zineb,12122-67-7 
268,34805,Ziram,00137-30-4 
269,78802,"S-(2,3,3-trichloroallyl) diisopropylthiocarbamate",02303-17-5 
270,69005,Phenothrin,26002-80-2 
271,69003,Tetramethrin,07696-12-0 
272,18301,Chloropropham,00101-21-3
273,61601,Paraquat,4685-14-7
274,122804,Abamectin,71751-41-2
275,118831,Beta-Cyfluthrin,1820573-27-0
276,128825,Bifenthrin,82657-04-3
277,90100,Chlorantraniliprole,500008-45-7
278,128831,Cyfluthrin,68359-37-5
279,122806,Emamectin Benzoate,155569-91-8
280,109303,Esfenvalerate,66230-04-4
281,129099,Imidacloprid,138261-41-3
282,128897,Lambda-Cyhalothrin,91465-08-6
283,0109,Thiamethoxam,153719-23-4
284,129064,Zeta-Cypermethrin,52315-07-8
285,127901,Fenpropathrin,39515-41-8
286,109702,Cypermethrin,52315-07-8
287,128807,Gamma-Cyhalothrin,76703-62-3
288,114501,Thiodicarb,59669-26-0
